epoch,loss
0,90.03630643231459
1,1.8742671112317923
2,1.5547762638211606
3,1.250487151915549
4,1.0068857695696734
5,0.8878263363223571
6,0.7653853243557266
7,0.730949355152119
8,0.7351856463918467
9,0.7433654861965273
10,0.6923346596149057
11,0.6833345304539196
12,0.6635478072971287
13,0.8699592523633334
14,0.8027569177606635
15,0.6837274819111941
16,0.5454888117952323
17,0.6500884524174723
18,0.6529048691822923
19,0.5740951575593861
20,0.5607197415727238
21,0.5517833387534983
22,0.4477076615913027
23,0.4454488388714046
24,0.5247262567485648
25,0.4582057093659487
26,0.47559801266937224
27,0.43291038339694043
28,0.5964492552641598
29,0.5028548763653432
30,0.35944692699227265
31,0.5711556365028768
32,0.3599686117046864
33,0.47814433836159675
34,0.33993317275648144
35,0.5570294405534199
36,0.32372959806720025
37,0.39240349494912985
38,0.3661040385370341
39,0.3332250395588237
40,0.41709582664239764
41,0.3529111498440638
42,0.3719895450842268
43,0.3898661182772824
