epoch,loss
0,203.35624030021737
1,2.447378093448299
2,1.9728123699410332
3,1.6942196180847393
4,1.5213710658279036
5,1.418163993135982
6,1.398826250326523
7,1.1851686750237855
8,1.1129557507844425
9,1.0973070158607823
10,0.9563109414910332
11,0.9228038471064378
12,0.8811872405227245
13,0.828714192798917
14,0.8059452456944624
15,0.7676568434415726
16,0.745743417022597
17,0.7179270661793458
18,0.6775642279226742
19,0.6134945488512727
20,0.6160930859338428
21,0.5888575956483154
22,0.5932594142550256
23,0.5502881293689964
24,0.5844128012552873
25,0.5756741015724676
26,0.5241159705591945
27,0.507426712768548
28,0.482013450339528
29,0.45417139107111687
30,0.5242921790489307
31,0.44826366623642444
32,0.48107965784660084
33,0.493905809446441
34,0.42107983832120177
35,0.5227706188361688
36,0.4777340737815648
37,0.42286686724856054
38,0.40334990577039276
39,0.44001442666087603
40,0.41971361463968454
41,0.4132000980470142
42,0.44196982185146283
43,0.4134152121615131
